id;numero_chambre;prix_chambre;disponibilite;images
1;Rubber Steel;45930;DISPONIBLE;a
2;open-source Manager;8377;DISPONIBLE;Shirt
3;a a;8168;DISPONIBLE;calculate tangible installation
4;web-readiness orange;95663;INDISPONIBLE;deposit copying
5;Outdoors;83472;DISPONIBLE;support a Lombards
6;azure Bedfordshire;39443;INDISPONIBLE;Inde calculating bandwidth
7;Grass-roots;17597;INDISPONIBLE;a
8;navigate;12780;INDISPONIBLE;Fresh
9;migration;10888;DISPONIBLE;generating bypassing
10;Haute-Normandie;60160;DISPONIBLE;Visionary
